====================================================================================================
[voicing] vo_s3d2 — reduction
====================================================================================================
  arms   : voi3_dp
  banked : en_s9:endo_ledger_open_ung5_ra

====================================================================================================
[A] LIFETIMES, COMMITS, AND THE IN-TAG IDENTITY CHECK
====================================================================================================
    arm                       cyc  commits (level@cycle)                 s/cycle
    voi3_dp                   201  L2@c59, L3@c77, L4@c157             
    en_s9:endo_ledger_open_ung5_ra  201  L2@c48, L3@c100, L4@c151, L5@c186      (banked)

    IDENTITY CHECK — voi3_dp against EVERY banked anchor. The anchor names no
    consumer knob, so it must be the banked arm to the bit; anything else means the
    record or an instrument is not inert.
      vs en_s9:endo_ledger_open_ung5_ra:  MAX|delta| OVER ALL SERIES = 2.352e+05   commits equal: False
        e=4.219e-01  succ=4.219e-01  dres=2.000e+00  n_solved=3.670e+02  n_mined=6.000e+00  n_moves=1.600e+01  width=1.500e+01  e_practice=3.594e-01  vloss=3.364e-01  gloss=1.402e+00  t_cum=2.352e+05  g_per_solve=2.500e+01  m_per_solve=1.200e+01
        commits: [(2, 59), (3, 77), (4, 157)]  vs  [(2, 48), (3, 100), (4, 151), (5, 186)]

====================================================================================================
[B] THE CORRIDOR — slots open, parity, misfire, and when it closed
====================================================================================================
    `n_open` is slots past the firing gate; `misfire` is fired rows whose span did not
    match `dp_features` exactly. An arm whose corridor closes stops executing with the
    head and falls back to the DP on every macro call.

    arm                    open@max  open@last  first c with open=0 after a peak   misfire(all)  misfire(era>=3)
    voi3_dp                      28         28  None                             0.0648        0.0619

    n_open per 10 cycles (the corridor's whole life):
      voi3_dp                  0   0   0   0   0   0   0  16  16  24  24  24  24  24  24  24  26  28  28  28  28
      cycle                    1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171 181 191 201

====================================================================================================
[C] THE SAMPLER, REALISED — deviation and on-table projection
====================================================================================================
    `dev`  the sampled entry left the on-table argmax (the quantity the temperature is
           set on; `DESIGN.md` §17 predicted this would fall below the preflight's
           0.44-0.67 because a sharper plant deviates less at fixed T).
    `ont`  the on-table argmax was not the head's FREE-RUN emission — the projection
           component that rides with the write axis (`DESIGN.md` §11).

    voi3_dp: argmax arm — never sampled.
====================================================================================================
[D] WHAT THE CHOOSER WROTE — Q0 §5's table, live, on the EXECUTED population
====================================================================================================
    Filed writes only (kept by the beam and on a graded tip). `rows` is the operative
    table's size, `dist` distinct tuples written, `keys` distinct class-pair keys,
    `tok` distinct token classes, `top1` the share of the era's filed writes on one
    tuple. Q0's banked numbers at the same nodes: L4 2.6-3.6 of 155-187 rows, top1
    0.91-0.94; L5 1.5-1.6 of 144-152, top1 0.80-0.93 (the FIRED population).

    voi3_dp:
      era  cell      n_filed  rows   dist/cyc  keys/cyc  tok/cyc   top1(w)
    `dp_vs_head` is printed beside it and is a DIFFERENT quantity: on an OPEN slot the
    executor's own would-be write is the head's emission, not the DP's row, so the two
    priors already disagree before the critic is consulted. Reading `moved` without it
    would attribute that standing disagreement to the critic. It is 0 on a closed slot
    by construction (there the DP IS the writer).

    A `moved` share near 0 says the critic is decorative at this w; near 1 says the DP
    is. Neither is a defect and neither is read as one here.

    voi3_dp: no composed choice (governance off, or a Q2 tag).

====================================================================================================
[O] BABBLING OFF-STREAM — the probe's counts, what it graded, and its share of the bill
====================================================================================================
    Per governed slot per cycle, up to `vo_probe_n` filed contexts: the trajectory's
    FINAL configuration with a DIFFERENT on-table class substituted at that slot,
    rendered and graded once. The verdict answers 'would this write ALONE have been
    right, holding the rest of the trajectory fixed' — not 'would the beam have
    solved it'; the rest of the trajectory is the beam's own, unchanged. Said here
    because the probe's solve rate is only comparable to the FILED rate under that
    reading.

    PRICED: every probe grading is a grounding on the meter at `d_fb`, inside the
    cycle's own ledger. `share` below is of the WHOLE cycle's priced ledger, the
    probe's own cost included — the number the design's ~5% cap is stated against.
    Gate V-4B asserts the bill moved by exactly the probe count and gate V-5 that
    nothing else did.

    arm                    probes   graded    solved   solve rate    bill: mean / max    cycles billed
    voi3_dp                (no probe)

    the FILED solve rate on the same slots, for the comparison the reading above
    licenses (both are per-write verdicts; the filed one is on the write that was
    actually made, the probe one on a substitution into the same final state):

    the bill per era, so a share that grows with the ladder is visible:

====================================================================================================
[Y] THE CLOCK YOKES — realised against planned (gate Y-1's check, post hoc)
====================================================================================================
    A clock yoke replays its source's realised commit and advance CYCLES and decides
    nothing else. That is the round's whole control: the chooser is read at L4 and L5
    with the same slots open at the same cycles as the anchor, so a level-resolved
    readout is not silently comparing two different ladders. Gate Y-1 asserts the match
    in `preflight`; this is the same check on the paid tag.

    `cancelled` actions are EXCLUDED from the match and printed separately: a replayed
    commit whose build is empty is cancelled by the substrate, not by the clock. Those
    are a finding about the arm's BOOK — it had nothing to commit at a cycle the anchor
    did — and are the one place a yoked arm's ladder can still fall short of its source.

    voi3_dp                commits [59, 77, 157]  advances [60, 110, 180, 192, 201]

====================================================================================================
[Z] THE L4/L5 PANEL — every readout the round turns on, at the cells it turns on
====================================================================================================
    Q3 could not produce this table: no treated arm except Q2's replace-critic had an
    L4 or L5 slot at all, because each one reached or missed L3 through the commit
    latch's response to its own L2 writes. With the ladder yoked, every arm has the
    anchor's slots at the anchor's cycles and the chooser is finally READ where the
    node is about.

    rep     the written class holds SOME feature that repairs the instance there — the
            honest measure, and on an open slot it IS the head's class accuracy on
            held-out data (fresh instances every cycle).
    cont    it holds the CLEAN derivation's latent — a stricter and less forgiving read;
            the gap between the two is the chooser spreading over classes the clean
            derivation did not carry (`DESIGN.md` §23's correction).
    dist    distinct tuples written, `top1` the share of filed writes on one tuple.
    moved   the composed argmax was not the DP's row (composed arms only).

    voi3_dp:
      cell    rows   writes    rep          cont         dist  top1    moved
      4n0       172     4988   0.283 (  2600)  0.735 (  4988)    1.4  0.918     -  
      4n1       172     6594   0.375 (  2656)  0.896 (  6594)    1.0  1.000     -  
      4n2       172     8517   0.371 (  2784)  0.736 (  8517)    2.0  0.898     -  
      4n3       172    16663   0.650 (  2800)  0.846 ( 16663)    1.5  0.928     -  

====================================================================================================
[S] THE SEED TABLE — what the ladder did, and WHY each advance fired
====================================================================================================
    Q3c turned the node's seed check into a seed check on the ANCHOR's own climb:
    at seed 0 it committed L2/L3/L4/L5 over 201 cycles, at seed 1 it committed L2
    and nothing else and ended at c108. The difference is not in the commit rule
    alone — it is in the ADVANCE. The two policies are split: the commit owner reads
    `yield` per level, the advance owner reads `dsil`. An era left by `quiet` is the
    thermostat CHOOSING to move on; an era left by `cap` is the schedule forcing it.
    An arm that advances by `quiet` before its commit owner has licensed the rung
    walks up the ladder without earning it, and every rung above is then unreachable.
    So `why` is printed for every advance, beside how far into the era it fired.

    Nothing here is an average over seeds. Four draws of one character is a spread,
    not an estimate, and the table is printed so the spread can be seen.

    seed 0  (vo_s3:voi3_dp)   201 cycles   t_cum 51,208,256g
      ladder reached : L2@c48(13) L3@c100(61) L4@c151(136) L5@c186(128)
      commits        : c48 L2 by quiet (owner=yield V=0.45809 tol=0.46127 mult=0.993) | c100 L3 by quiet (owner=yield V=0.4375 tol=0.51669 mult=0.846) | c151 L4 by quiet (owner=yield V=0.21875 tol=0.2197 mult=0.995) | c186 L5 by quiet (owner=yield V=0.125 tol=0.1836 mult=0.680)
      advances       : c60 era1 by CAP at 60/60 | c110 era2 by CAP at 50/50 | c180 era3 by CAP at 70/70 | c192 era4 by CAP at 12/12 | c201 era5 by CAP at 9/9
                       0 by quiet / 5 by cap
      certificate    : run1@c17, run2@c18, run3@c19, run4@c20, run5@c21, run6@c22, run7@c32, run8@c47, run9@c48, run10@c126, run11@c127, run12@c128, run13@c129, run14@c130, run15@c131, run16@c132, run17@c133, run18@c134, run19@c135
      era-2 A3       : n=47 range 0.289-0.539 first 0.438 last 0.480
                       series: 0.44 0.33 0.32 0.41 0.36 0.35 0.32 0.34 0.39 0.39 0.43 0.43 0.46 0.42 0.46 0.54
      era-3 A4       : n=68 range 0.195-0.344 first 0.195 last 0.246
                       series: 0.20 0.20 0.20 0.20 0.20 0.20 0.28 0.24 0.34 0.22 0.20 0.21 0.23 0.23 0.20 0.22 0.22

    seed 1  (vo_s3c:voi3_dp)   108 cycles   t_cum 25,696,134g
      ladder reached : L2@c47(14)
      commits        : c47 L2 by quiet (owner=yield V=0.45844 tol=0.46127 mult=0.993)
      advances       : c60 era1 by CAP at 60/60 | c77 era2 by QUIET at 17/50 | c87 era3 by QUIET at 10/70 | c99 era4 by CAP at 12/12 | c108 era5 by CAP at 9/9
                       2 by quiet / 3 by cap
      certificate    : run1@c16, run2@c17, run3@c18, run4@c19, run5@c20, run6@c21, run7@c22, run8@c34, run9@c35, run10@c36
      era-2 A3       : n=17 range 0.332-0.566 first 0.566 last 0.387
                       series: 0.57 0.43 0.44 0.43 0.47 0.46 0.44 0.44 0.35 0.34 0.37 0.36 0.33 0.35 0.40 0.39 0.39
      era-3 A4       : (no reading — the era was never entered)

    seed 2  (vo_s3d2:voi3_dp)   201 cycles   t_cum 50,979,162g
      ladder reached : L2@c59(13) L3@c77(46) L4@c157(152)
      commits        : c59 L2 by quiet (owner=yield V=0.43662 tol=0.46127 mult=0.946) | c77 L3 by quiet (owner=yield V=0.51562 tol=0.51669 mult=0.997) | c157 L4 by quiet (owner=yield V=0.125 tol=0.2197 mult=0.568)
      advances       : c60 era1 by CAP at 60/60 | c110 era2 by CAP at 50/50 | c180 era3 by CAP at 70/70 | c192 era4 by CAP at 12/12 | c201 era5 by CAP at 9/9
                       0 by quiet / 5 by cap
      certificate    : run1@c17, run2@c18, run3@c19, run4@c20, run5@c21, run6@c22, run7@c23, run8@c24, run9@c25, run10@c26, run11@c27, run12@c28, run13@c29, run14@c30, run15@c31, run16@c32, run17@c33, run18@c34, run19@c35, run20@c36, run21@c37, run22@c38, run23@c39, run24@c40, run25@c41, run26@c42, run27@c43, run28@c44, run29@c45, run30@c46, run31@c47, run32@c48, run33@c49, run34@c50, run35@c51, run36@c52, run37@c53, run38@c54, run39@c55, run40@c56, run41@c57, run42@c58, run43@c59
      era-2 A3       : n=50 range 0.258-0.566 first 0.566 last 0.371
                       series: 0.57 0.47 0.37 0.38 0.30 0.30 0.38 0.32 0.30 0.35 0.35 0.37 0.35 0.38 0.36 0.37 0.38
      era-3 A4       : n=66 range 0.137-0.320 first 0.137 last 0.137
                       series: 0.14 0.16 0.14 0.22 0.14 0.21 0.18 0.14 0.15 0.15 0.15 0.19 0.16 0.16 0.17 0.16 0.14

    seed 3  (vo_s3d3:voi3_dp)   201 cycles   t_cum 50,585,574g
      ladder reached : L2@c52(15) L3@c66(4)
      commits        : c52 L2 by quiet (owner=yield V=0.39666 tol=0.46127 mult=0.859) | c66 L3 by quiet (owner=yield V=0.5 tol=0.51669 mult=0.967)
      advances       : c60 era1 by CAP at 60/60 | c110 era2 by CAP at 50/50 | c180 era3 by CAP at 70/70 | c192 era4 by CAP at 12/12 | c201 era5 by CAP at 9/9
                       0 by quiet / 5 by cap
      certificate    : run1@c18, run2@c19, run3@c20, run4@c21, run5@c22, run6@c23, run7@c24, run8@c25, run9@c26, run10@c27, run11@c28, run12@c29, run13@c30, run14@c31, run15@c32, run16@c33, run17@c34, run18@c35, run19@c36, run20@c37, run21@c38, run22@c39, run23@c40, run24@c41, run25@c42, run26@c43, run27@c44, run28@c45, run29@c46, run30@c47, run31@c48, run32@c49, run33@c50, run34@c51, run35@c52
      era-2 A3       : n=49 range 0.359-0.582 first 0.562 last 0.465
                       series: 0.56 0.50 0.52 0.41 0.38 0.38 0.41 0.43 0.41 0.39 0.42 0.43 0.45 0.46 0.48 0.47 0.46
      era-3 A4       : n=65 range 0.195-0.727 first 0.195 last 0.246
                       series: 0.20 0.72 0.39 0.21 0.20 0.22 0.46 0.21 0.43 0.59 0.58 0.68 0.20 0.20 0.23 0.24 0.25

